"","x"
"broken",35402
"track",33338
"switch",32586
"defect",30655
"failur",30308
"detail",27947
"provid",26469
"descript",26465
"narrat",26168
"car",26012
"rail",24525
"movement",23932
"descchang",18343
"current",18024
"refer",17870
"due",16696
"train",16387
"improp",16376
"gage",16262
"wide",15961
"miss",15891
"prevguid",15359
"worn",14174
"excess",13695
"joint",13444
"brake",13266
"crossti",12477
"shove",12384
"employe",12207
"railroad",12179
"caus",11983
"irregular",11748
"cross",10965
"end",10807
"lead",10807
"man",10807
"hand",8869
"line",8744
"point",8617
"level",8034
"yard",7906
"handl",7769
"vandal",7461
"highway",7459
"speed",7362
"head",7328
"absenc",7167
"control",6424
"equip",6384
"object",6376
"action",6187
"buf",6187
"slack",6187
"foul",6095
"user",5786
"vertic",5739
"appli",5584
"coupler",5422
"oper",5410
"later",5402
"forc",5298
"bar",5113
"includ",5057
"bear",4912
"compli",4897
"miscellan",4823
"damag",4811
"etc",4736
"proper",4676
"classif",4584
"secur",4565
"applianc",4343
"locomot",4205
"journal",4173
"left",4066
"automat",4004
"engin",3995
"use",3938
"limit",3875
"align",3862
"retard",3853
"suffici",3820
"clear",3809
"overh",3783
"buckl",3714
"sunkink",3714
"coupl",3586
"truck",3445
"side",3428
"compound",3349
"fissur",3349
"transvers",3349
"code",3336
"insuffici",3303
"system",3291
"harmon",3280
"interact",3280
"rock",3280
"adjust",3240
"autom",3184
"pass",3184
"place",3161
"flang",3142
"factor",3023
"human",3005
"base",2990
"thrown",2961
"split",2926
"stop",2925
"inattent",2909
"block",2748
"wheel",2696
"load",2667
"number",2590
"center",2577
"connect",2531
"see",2520
"separ",2511
"web",2511
"motor",2495
"outsid",2458
"rule",2425
"roadb",2418
"restrict",2413
"run",2328
"previous",2320
"spike",2314
"bolster",2271
"author",2254
"mechan",2244
"condit",2190
"ice",2145
"fasten",2134
"traffic",2120
"signal",2082
"roller",2072
"settl",2069
"soft",2069
"malfunct",2063
"snow",2049
"clearanc",2020
"curv",2018
"drawbar",2018
"frog",1958
"plate",1938
"pre",1934
"fail",1797
"electr",1785
"fractur",1776
"stiff",1775
"extrem",1696
"plain",1681
"fire",1680
"remov",1601
"swivel",1570
"draft",1556
"derail",1496
"bent",1494
"mismatch",1490
"check",1482
"shell",1482
"loos",1462
"main",1390
"materi",1340
"without",1322
"radio",1302
"hump",1300
"inadequ",1259
"geometri",1249
"coal",1236
"gravel",1236
"mud",1236
"sand",1236
"bei",1230
"foreign",1230
"slow",1230
"bolt",1224
"communic",1216
"interfer",1197
"shift",1182
"environment",1166
"break",1161
"nonrailroad",1129
"equival",1129
"interloc",1129
"crew",1119
"instruct",1119
"stock",1100
"structur",1066
"compon",1055
"disconnect",1048
"grade",1040
"skate",1036
"cite",1031
"law",1031
"violat",1031
"weather",1018
"crack",1006
"air",1003
"lock",998
"way",998
"indic",988
"spring",988
"misjudg",970
"normal",970
"latch",968
"hole",944
"flood",939
"drop",924
"kick",924
"precaut",924
"interlock",922
"power",919
"sill",912
"gear",890
"rim",860
"insid",840
"make",827
"rod",822
"catenari",817
"drag",809
"rig",809
"non",798
"drawhead",794
"devic",779
"superelev",777
"warn",776
"manual",775
"report",768
"tread",766
"rain",765
"slide",765
"washout",765
"general",763
"valv",746
"deliber",738
"disregard",738
"gap",729
"noninsul",719
"actuat",718
"independ",718
"hose",706
"pantograph",699
"frame",686
"axl",684
"except",683
"investig",665
"bodi",665
"knuckl",653
"disengag",651
"pin",634
"vehicl",633
"burst",631
"uncoupl",631
"releas",625
"emerg",603
"overload",587
"prev",577
"within",577
"result",574
"involv",543
"territori",524
"slid",521
"yoke",517
"turnout",507
"veloc",500
"wind",500
"key",500
"retain",500
"high",497
"low",497
"give",482
"receiv",482
"seat",462
"horizont",461
"flat",459
"stand",449
"bulletin",429
"order",429
"warrant",429
"display",429
"guard",428
"revers",421
"contour",415
"door",413
"activ",393
"amend",384
"forward",384
"repor",384
"will",384
"undesir",360
"determin",353
"stuck",350
"relat",334
"contain",332
"weld",331
"industri",331
"makeup",330
"fell",327
"trailer",324
"build",316
"dynam",315
"anchor",313
"timet",310
"misloc",305
"deviat",298
"profil",298
"top",298
"uniform",298
"fuel",298
"oil",298
"flag",294
"field",288
"complet",281
"incl",281
"must",281
"applic",272
"chain",269
"lade",269
"strap",269
"carrier",263
"rigid",260
"linkag",257
"pipe",256
"accid",252
"avoid",243
"error",236
"bottom",231
"outlet",231
"traction",229
"attach",225
"tiedown",218
"cold",217
"bridg",198
"design",193
"stretch",191
"new",187
"horsepow",183
"throttl",181
"clog",175
"flangeway",175
"box",167
"combin",163
"long",163
"short",163
"repair",158
"motiv",158
"open",157
"collector",154
"asleep",153
"compromis",151
"hydraul",149
"shank",148
"proceed",147
"construct",143
"intervent",142
"mode",142
"hub",140
"fix",134
"rapid",133
"alcohol",126
"drug",126
"impair",126
"self",123
"crank",123
"misalign",123
"hunt",122
"snub",122
"direct",119
"prepar",119
"friction",119
"allow",116
"fulli",116
"procedur",115
"angl",114
"slew",112
"insul",112
"instal",111
"hazard",110
"regul",110
"cut",108
"comput",107
"bottl",107
"inspect",99
"termin",98
"close",96
"cock",96
"obstruct",96
"plug",95
"swivelinglocomot",93
"incorrect",88
"otherwis",88
"vendor",86
"motion",81
"initi",81
"move",79
"runoff",77
"burn",77
"cabl",75
"chute",75
"posit",75
"ramp",75
"plant",74
"case",72
"explos",72
"local",72
"usag",72
"equipm",70
"suscept",70
"tornado",69
"thermal",62
"height",59
"mis",59
"overs",59
"rout",59
"width",59
"effici",54
"judgment",54
"remot",53
"lug",51
"dens",50
"fog",50
"moveabl",49
"inabl",48
"pack",48
"road",48
"ballast",48
"section",48
"inop",48
"written",46
"note",39
"configur",36
"manag",36
"livestock",32
"mainten",31
"fals",31
"detector",29
"effect",27
"disturb",27
"hanger",23
"plank",23
"swing",23
"suicid",19
"transmitt",18
"sun",18
"unawar",18
"blue",17
"articul",17
"connector",17
"placement",17
"expans",17
"physic",16
"loss",15
"portabl",15
"cab",14
"protect",14
"safeti",14
"tamper",14
"person",14
"uncertifi",14
"unqualifi",14
"ill",13
"incapacit",13
"injuri",13
"board",13
"shoe",12
"gib",11
"data",8
"input",8
"dri",8
"fresh",8
"ground",8
"controllocomot",7
"beam",6
"third",6
"reduct",6
"respond",5
"entri",4
"given",4
"observ",4
"waysid",4
"lever",3
"imperfect",2
"unit",1
"attempt",1
